recording_id,original_audio_path,cached_audio_path,status,preprocessed,samplerate,channels,duration_sec,samples_before,samples_after,active_intervals,retained_fraction,ffmpeg_warning
Australian Brushturkey_sound/Australian Brushturkey14,D:\other\Bird\Dataset\CC0\Australian Brushturkey_sound\Australian Brushturkey14.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Australian Brushturkey_sound\Australian Brushturkey14.wav,too_short_after_preprocess,,,,3.438625,110036,110036,1,1.0,
Australian Brushturkey_sound/Australian Brushturkey15,D:\other\Bird\Dataset\CC0\Australian Brushturkey_sound\Australian Brushturkey15.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Australian Brushturkey_sound\Australian Brushturkey15.wav,too_short_after_preprocess,,,,3.438625,110036,110036,1,1.0,
Australian Brushturkey_sound/Australian Brushturkey16,D:\other\Bird\Dataset\CC0\Australian Brushturkey_sound\Australian Brushturkey16.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Australian Brushturkey_sound\Australian Brushturkey16.wav,too_short_after_preprocess,,,,2.848,91952,91136,2,0.9911258047677048,
Australian Brushturkey_sound/Australian Brushturkey18,D:\other\Bird\Dataset\CC0\Australian Brushturkey_sound\Australian Brushturkey18.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Australian Brushturkey_sound\Australian Brushturkey18.wav,too_short_after_preprocess,,,,1.9608125,62746,62746,1,1.0,
Australian Brushturkey_sound/Australian Brushturkey9,D:\other\Bird\Dataset\CC0\Australian Brushturkey_sound\Australian Brushturkey9.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Australian Brushturkey_sound\Australian Brushturkey9.wav,too_short_after_preprocess,,,,2.8144375,90062,90062,1,1.0,
Band-tailed Guan_sound/Band-tailed Guan15,D:\other\Bird\Dataset\CC0\Band-tailed Guan_sound\Band-tailed Guan15.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Band-tailed Guan_sound\Band-tailed Guan15.wav,too_short_after_preprocess,,,,3.168,107728,101376,3,0.9410366849844052,
Berlepschs Tinamou_sound/Berlepschs Tinamou3,D:\other\Bird\Dataset\CC0\Berlepschs Tinamou_sound\Berlepschs Tinamou3.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Berlepschs Tinamou_sound\Berlepschs Tinamou3.wav,too_short_after_preprocess,,,,4.736,417960,151552,29,0.3625992917982582,
Berlepschs Tinamou_sound/Berlepschs Tinamou2,D:\other\Bird\Dataset\CC0\Berlepschs Tinamou_sound\Berlepschs Tinamou2.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Berlepschs Tinamou_sound\Berlepschs Tinamou2.wav,too_short_after_preprocess,,,,4.736,417960,151552,29,0.3625992917982582,
Berlepschs Tinamou_sound/Berlepschs Tinamou4,D:\other\Bird\Dataset\CC0\Berlepschs Tinamou_sound\Berlepschs Tinamou4.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Berlepschs Tinamou_sound\Berlepschs Tinamou4.wav,too_short_after_preprocess,,,,4.736,417960,151552,29,0.3625992917982582,
Berlepschs Tinamou_sound/Berlepschs Tinamou5,D:\other\Bird\Dataset\CC0\Berlepschs Tinamou_sound\Berlepschs Tinamou5.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Berlepschs Tinamou_sound\Berlepschs Tinamou5.wav,too_short_after_preprocess,,,,4.736,417960,151552,29,0.3625992917982582,
Berlepschs Tinamou_sound/Berlepschs Tinamou6,D:\other\Bird\Dataset\CC0\Berlepschs Tinamou_sound\Berlepschs Tinamou6.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Berlepschs Tinamou_sound\Berlepschs Tinamou6.wav,too_short_after_preprocess,,,,4.736,417960,151552,29,0.3625992917982582,
Berlepschs Tinamou_sound/Berlepschs Tinamou8,D:\other\Bird\Dataset\CC0\Berlepschs Tinamou_sound\Berlepschs Tinamou8.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Berlepschs Tinamou_sound\Berlepschs Tinamou8.wav,too_short_after_preprocess,,,,4.08,402077,130560,22,0.32471392295505586,
